ID,gre,mesoregiao,tipoEscola,serie,sexo,idade,afTL,diasAFMV,afmvH,afmvMin,tvSemH,tvSemMin,tvFdsH,tvFdsMin,mediaTV_sem,media_sed_tv,pcSemH,pcSemMin,pcFdsH,pcFdsMin,mediaPC_sem,media_sed_pc,vgSemH,vgSemMin,vgFdsH,vgFdsMin,mediaVG_sem,media_sed_vg,sptSemH,sptSemMin,sptFdsH,sptFdsMin,mediaSPT_sem,media_sed_spt,massa,estatura
35,8,3,5,3,2,16,1,4,1,30,3,0,6,0,3.86,1,0,0,2,30,0.71,2,0,0,0,0,0.00,2,10,59,10,59,10.98,1,49.4,157.1
36,8,3,5,3,2,17,1,3,1,30,1,0,3,0,1.57,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,16,0,126,0,47.43,1,55.8,167.4
37,8,3,5,3,2,16,2,1,0,0,2,0,3,0,2.29,1,0,0,0,30,0.14,2,0,0,0,0,0.00,2,3,0,12,0,5.57,1,53.5,162.7
38,8,3,5,3,1,18,1,3,1,30,3,0,6,0,3.86,1,0,0,2,45,0.79,2,0,0,4,30,1.29,2,4,54,10,0,6.36,1,58.3,164.0
39,8,3,5,1,2,14,2,3,2,30,2,0,1,30,1.86,2,3,0,10,0,5.00,1,1,30,1,30,1.50,2,12,0,23,0,15.14,1,63.3,160.4
40,8,3,5,1,2,15,2,1,0,0,1,30,0,20,1.17,2,0,0,0,0,0.00,2,0,10,0,30,0.26,2,0,10,0,20,0.21,2,58.4,157.7
41,8,3,5,1,2,14,1,3,0,50,1,0,3,30,1.71,2,0,20,2,0,0.81,2,0,0,0,0,0.00,2,9,50,24,0,13.88,1,62.7,161.4
42,8,3,5,1,2,14,1,2,0,45,3,0,5,0,3.57,1,0,0,3,0,0.86,2,0,0,0,0,0.00,2,5,45,10,30,7.11,1,53.9,163.2
43,8,3,5,1,2,15,1,8,2,10,1,30,1,30,1.50,2,0,30,0,0,0.36,2,0,0,0,0,0.00,2,5,0,24,0,10.43,1,50.3,150.6
44,8,3,5,1,1,14,1,4,1,30,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,50.3,166.2
45,8,3,5,1,2,14,1,4,0,50,8,0,2,0,6.29,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,10,0,2.86,1,55.8,163.8
46,8,3,5,1,1,14,1,8,1,0,0,0,1,0,0.29,2,0,30,1,30,0.79,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,47.6,168.4
47,8,3,5,1,2,15,1,2,0,30,0,15,0,30,0.32,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,6,0,10,30,7.29,1,50.8,160.7
48,8,3,5,1,2,15,1,3,0,45,1,30,2,0,1.64,2,0,30,1,0,0.64,2,0,30,0,30,0.50,2,2,0,3,0,2.29,1,51.5,166.9
49,8,3,5,1,2,14,2,6,0,20,2,0,5,0,2.86,1,1,0,0,30,0.86,2,0,0,0,0,0.00,2,3,0,12,0,5.57,1,34.9,151.6
50,8,3,5,1,2,15,1,5,0,45,2,0,4,0,2.57,1,0,40,1,30,0.90,2,0,0,0,0,0.00,2,10,0,14,0,11.14,1,70.3,165.9
51,8,3,5,1,2,14,1,6,1,0,5,0,8,0,5.86,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,5,0,22,0,9.86,1,83.2,170.3
52,8,3,5,1,1,15,1,5,1,30,1,0,2,0,1.29,2,0,0,1,0,0.29,2,0,0,0,0,0.00,2,4,0,8,0,5.14,1,52.6,172.8
53,8,3,5,1,1,15,2,2,0,0,5,0,0,0,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,12,0,12,0,12.00,1,50.1,165.2
54,8,3,5,1,1,15,1,8,1,0,8,0,3,0,6.57,1,1,0,1,0,1.00,2,1,0,3,0,1.57,2,24,0,5,0,18.57,1,63.4,173.9
55,8,3,5,1,1,15,2,3,0,30,0,30,0,30,0.50,2,0,30,0,30,0.50,2,1,30,2,0,1.64,2,6,0,10,0,7.14,1,60.7,173.6
56,8,3,5,1,2,15,1,4,1,30,5,0,0,0,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,3,0,6,0,3.86,1,51.3,161.0
57,8,3,5,1,1,15,1,4,2,0,1,0,4,0,1.86,2,0,0,0,0,0.00,2,3,0,1,30,2.57,1,6,0,24,0,11.14,1,53.4,168.7
58,8,3,5,1,2,14,1,4,1,30,2,0,0,0,1.43,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,10,0,15,0,11.43,1,51.5,155.8
59,8,3,5,1,2,15,1,4,0,20,4,0,2,30,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,24,0,0,0,17.14,1,65.0,158.0
60,8,3,5,1,2,14,1,5,1,30,6,0,3,0,5.14,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,47.6,167.2
61,8,3,5,1,1,14,2,2,1,30,1,0,2,30,1.43,2,0,50,2,0,1.17,2,3,0,5,0,3.57,1,4,0,8,0,5.14,1,71.4,168.6
62,8,3,5,1,1,16,1,7,1,30,1,0,4,0,1.86,2,0,0,0,0,0.00,2,2,0,6,0,3.14,1,7,0,23,0,11.57,1,57.8,166.8
63,8,3,5,1,2,17,2,3,0,50,5,0,8,0,5.86,1,3,0,9,0,4.71,1,0,0,0,0,0.00,2,2,0,10,0,4.29,1,73.7,170.5
64,8,3,5,1,1,14,1,8,1,30,3,0,5,0,3.57,1,0,0,0,0,0.00,2,3,0,12,0,5.57,1,24,0,24,0,24.00,1,54.0,166.3
66,8,3,5,2,2,15,2,1,0,0,1,30,5,0,2.50,1,0,0,0,30,0.14,2,0,0,0,0,0.00,2,6,0,12,0,7.71,1,63.2,174.5
67,8,3,5,2,2,17,2,1,0,0,3,0,0,0,2.14,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,4,0,0,0,2.86,1,40.6,154.8
68,8,3,5,2,2,16,1,2,1,30,2,0,2,0,2.00,2,2,0,2,30,2.14,1,0,0,0,30,0.14,2,15,0,15,0,15.00,1,61.1,162.3
69,8,3,5,2,2,17,2,1,0,0,1,0,5,0,2.14,1,1,0,3,0,1.57,2,0,0,0,0,0.00,2,8,0,9,0,8.29,1,60.1,160.1
70,8,3,5,2,2,16,2,3,0,0,0,0,4,0,1.14,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,0,8,0,8.00,1,78.6,161.1
71,8,3,5,2,1,14,2,7,0,40,0,10,0,30,0.26,2,10,0,20,0,12.86,1,0,0,0,0,0.00,2,10,0,5,0,8.57,1,91.1,177.0
72,8,3,5,2,2,16,2,6,0,30,0,30,5,30,1.93,2,2,30,9,30,4.50,1,0,0,0,0,0.00,2,2,30,12,30,5.36,1,42.1,151.1
73,8,3,5,2,2,16,2,1,0,0,1,30,0,30,1.21,2,6,30,20,0,10.36,1,0,0,0,0,0.00,2,21,0,22,0,21.29,1,57.8,164.2
74,8,3,5,2,2,15,1,1,0,0,3,30,5,0,3.93,1,0,0,2,30,0.71,2,0,0,0,0,0.00,2,0,30,3,0,1.21,2,65.7,162.0
75,8,3,5,2,2,16,1,1,0,0,4,0,0,0,2.86,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,0,8,0,8.00,1,53.1,161.9
76,8,3,5,2,2,17,2,2,0,15,0,20,0,20,0.33,2,6,0,11,0,7.43,1,0,0,0,30,0.14,2,4,0,9,0,5.43,1,81.7,167.5
77,8,3,5,2,1,16,1,8,2,0,0,0,2,0,0.57,2,0,0,0,0,0.00,2,0,0,1,0,0.29,2,2,30,6,0,3.50,1,65.8,171.6
78,8,3,5,2,2,15,2,6,0,30,0,5,0,20,0.15,2,5,0,15,0,7.86,1,0,0,0,0,0.00,2,1,40,15,0,5.48,1,101.1,167.5
79,8,3,5,2,1,15,1,4,1,10,2,0,3,0,2.29,1,0,40,2,15,1.12,2,0,0,40,0,11.43,1,7,20,9,30,7.95,1,53.7,166.7
80,8,3,5,2,1,16,2,2,0,45,3,30,1,0,2.79,1,0,30,15,0,4.64,1,0,0,0,0,0.00,2,16,0,10,0,14.29,1,63.4,175.9
81,8,3,5,2,1,17,2,5,1,30,2,50,2,0,2.60,1,30,0,0,20,21.52,1,1,0,1,0,1.00,2,15,0,18,0,15.86,1,64.2,180.2
82,8,3,5,2,1,17,1,6,3,0,3,0,5,0,3.57,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,40,12,0,9.62,1,63.9,175.3
83,8,3,5,2,1,16,2,1,0,0,1,30,3,40,2.12,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,2,30,3,0,2.64,1,46.9,160.6
84,8,3,5,2,1,16,1,2,3,0,3,0,3,0,3.00,1,1,0,5,0,2.14,1,0,0,1,0,0.29,2,25,0,24,0,24.71,1,64.2,173.6
85,8,3,5,2,2,15,1,5,0,30,3,30,7,0,4.50,1,0,50,0,30,0.74,2,0,0,0,0,0.00,2,7,0,6,0,6.71,1,54.7,170.1
86,8,3,5,2,2,15,1,6,2,30,2,0,4,0,2.57,1,2,0,3,0,2.29,1,1,30,2,30,1.79,2,6,0,7,0,6.29,1,84.5,166.1
87,8,3,5,2,1,16,2,2,1,30,2,0,6,0,3.14,1,1,35,3,0,1.99,2,0,0,0,0,0.00,2,2,0,1,0,1.71,2,64.0,172.1
88,8,3,5,2,2,16,2,1,0,0,2,0,10,0,4.29,1,0,30,0,30,0.50,2,0,0,0,0,0.00,2,6,0,6,0,6.00,1,50.6,158.8
89,8,3,5,2,1,15,1,6,2,0,0,30,0,0,0.36,2,1,0,3,0,1.57,2,0,0,2,0,0.57,2,15,0,16,0,15.29,1,62.7,177.7
90,8,3,5,2,1,15,1,5,3,0,0,30,2,0,0.93,2,5,0,7,30,5.71,1,0,0,0,0,0.00,2,15,30,18,0,16.21,1,65.9,184.9
91,8,3,5,2,1,16,1,4,3,0,10,0,3,0,8.00,1,3,0,3,0,3.00,1,0,0,0,0,0.00,2,3,0,3,0,3.00,1,64.1,180.4
92,8,3,5,2,1,17,1,3,0,50,1,20,1,30,1.38,2,1,20,4,40,2.29,1,0,0,0,0,0.00,2,3,0,12,0,5.57,1,97.8,185.1
93,8,3,5,2,2,15,1,5,1,30,3,0,0,30,2.29,1,0,30,1,30,0.79,2,0,0,0,0,0.00,2,24,0,18,0,22.29,1,57.7,157.4
94,8,3,5,2,1,17,1,5,0,50,6,0,10,0,7.14,1,2,0,15,0,5.71,1,1,0,16,0,5.29,1,7,0,20,0,10.71,1,61.1,167.6
95,8,3,5,2,2,17,2,1,0,0,1,0,3,0,1.57,2,0,0,0,0,0.00,2,0,0,0,0,0.00,2,10,0,10,0,10.00,1,64.0,166.0
96,8,3,5,2,2,15,2,2,0,30,2,30,10,0,4.64,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,8,0,6,0,7.43,1,51.1,159.2
97,8,3,5,2,2,15,2,1,0,0,3,30,5,30,4.07,1,0,0,0,0,0.00,2,0,0,0,0,0.00,2,12,0,20,0,14.29,1,73.5,169.5
98,8,3,5,2,2,15,1,7,1,30,0,45,1,0,0.82,2,2,0,3,0,2.29,1,0,30,1,0,0.64,2,2,30,3,30,2.79,1,68.0,171.5
99,8,3,5,2,2,16,1,4,3,0,1,0,0,30,0.86,2,0,0,0,50,0.24,2,0,0,0,0,0.00,2,16,0,3,0,12.29,1,54.3,168.8
