ID,gre,mesoregiao,tipoEscola,serie,sexo,idade,afTL,diasAFMV,afmvH,afmvMin,tvSemH,tvSemMin,tvFdsH,tvFdsMin,mediaTV_sem,media_sed_tv,pcSemH,pcSemMin,pcFdsH,pcFdsMin,mediaPC_sem,media_sed_pc,vgSemH,vgSemMin,vgFdsH,vgFdsMin,mediaVG_sem,media_sed_vg,sptSemH,sptSemMin,sptFdsH,sptFdsMin,mediaSPT_sem,media_sed_spt,massa,estatura
28,3,1,6,3,1,18,1,7,2,7,4,41,7,27,5.47,1,2,16,5,16,3.12,1,6,8,8,19,6.8,1,5,11,6,11,5.47,1,,
661,16,4,6,2,2,16,1,7,2,31,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,3,0,6,0,3.86,1,,
1001,9,3,6,3,1,17,1,3,2,0,3,0,2,0,2.71,1,0,0,2,0,0.57,2,0,0,0,0,0.0,2,18,0,21,0,18.86,1,90.7,161.5
1002,9,3,6,3,1,17,1,3,2,7,1,35,2,58,1.98,2,1,9,1,3,1.12,2,0,60,0,60,1.0,2,0,60,1,29,1.14,2,47.3,163.2
1003,9,3,6,3,1,16,2,2,0,30,0,0,0,20,0.10,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,5,0,5,0,5.00,1,42.4,158.1
1004,9,3,6,3,1,17,2,3,2,0,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,6,0,4,0,5.43,1,53.1,161.6
1005,9,3,6,3,1,16,2,5,2,30,1,0,1,0,1.00,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,7,30,9,0,7.93,1,55.3,161
1007,9,3,6,3,1,17,2,4,1,10,0,0,1,30,0.43,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,5,30,20,41,9.84,1,67.5,154.7
1008,9,3,6,3,2,18,1,5,4,0,3,0,5,0,3.57,1,0,0,0,0,0.00,2,4,0,4,0,4.0,1,5,0,8,0,5.86,1,52,166.5
1009,9,3,6,3,1,17,1,3,1,30,1,0,1,10,1.05,2,1,5,1,4,1.08,2,0,0,0,0,0.0,2,8,5,1,5,6.08,1,75.7,167
1010,9,3,6,3,2,17,1,6,2,30,0,30,1,19,0.73,2,1,1,1,1,1.02,2,2,31,4,30,3.1,1,1,12,12,30,4.43,1,62.7,173
1011,12,4,6,1,1,15,1,6,1,0,0,30,1,0,0.64,2,0,30,0,0,0.36,2,0,0,0,0,0.0,2,4,0,10,0,5.71,1,43.35,167.1
1012,12,4,6,1,1,15,1,4,2,30,1,30,0,0,1.07,2,2,0,1,30,1.86,2,0,0,0,0,0.0,2,5,0,10,0,6.43,1,53.7,161.4
1013,12,4,6,1,2,15,1,7,1,60,3,60,24,60,10.00,1,0,0,0,0,0.00,2,1,0,4,0,1.9,2,3,0,10,0,5.00,1,104.8,177.3
1014,12,4,6,1,2,15,1,3,4,0,0,20,1,30,0.67,2,2,29,5,41,3.40,1,0,0,0,29,0.1,2,2,0,6,0,3.14,1,43.2,159.5
1015,12,4,6,1,2,14,1,6,2,0,0,0,2,0,0.57,2,3,0,12,0,5.57,1,0,0,2,0,0.6,2,6,0,8,0,6.57,1,45.4,160
1016,12,4,6,1,2,15,1,6,1,40,0,0,0,0,0.00,2,0,30,0,30,0.50,2,0,0,0,0,0.0,2,3,0,5,0,3.57,1,57.65,174.3
1017,12,4,6,1,2,15,1,3,1,20,2,30,7,30,3.93,1,1,0,1,0,1.00,2,3,0,5,0,3.6,1,10,0,13,0,10.86,1,63.8,171.4
1018,12,4,6,1,2,15,1,8,2,30,1,30,3,30,2.07,1,0,0,0,0,0.00,2,1,0,2,0,1.3,2,2,30,3,30,2.79,1,73.6,168.5
1019,12,4,6,1,2,15,1,4,1,30,3,0,12,0,5.57,1,0,0,0,0,0.00,2,0,0,0,0,0.0,2,5,0,5,0,5.00,1,57.15,174
1020,12,4,6,1,2,15,1,4,1,0,1,0,0,0,0.71,2,2,0,10,0,4.29,1,0,0,0,0,0.0,2,1,0,10,0,3.57,1,99.65,181.5
1021,9,3,6,3,1,18,2,2,1,50,1,30,2,11,1.70,2,0,0,0,0,0.00,2,3,30,5,0,3.9,1,5,30,8,0,6.21,1,67.4,163.5
1022,9,3,6,3,1,17,1,6,2,10,5,0,5,0,5.00,1,2,0,2,0,2.00,2,2,0,2,0,2.0,2,2,0,2,0,2.00,2,68.5,163.3
1023,9,3,6,3,1,18,1,5,2,30,0,0,0,0,0.00,2,0,0,0,0,0.00,2,0,0,1,30,0.4,2,24,60,24,60,25.00,1,74.7,152.7
1024,9,3,6,3,1,17,2,3,2,0,1,30,4,0,2.21,1,0,0,0,0,0.00,2,0,0,0,0,0.0,2,2,10,5,0,2.98,1,58.3,154.1
1025,9,3,6,3,2,18,1,6,3,0,1,10,1,30,1.26,2,0,0,0,0,0.00,2,0,0,0,0,0.0,2,3,0,4,0,3.29,1,55.3,169.4
